filename,Dice,Jaccard,False Negative,False Positive,Hausdorff Distance,avgHausdorff Distance,Mean Surface Distance,Median Surface Distance,Std Surface Distance,Max Surface Distance
20190315161901208-seg-1.nii.gz,0.965910006,0.934067645,0.024938575,0.04307123,13.34166406,0.041588107,0.049509149,0,0.30875464,13.34166431
20190315162129646-seg-2.nii.gz,0.939136355,0.885256422,0.043535794,0.077574825,34.88552709,0.123775873,0.11035933,0,0.788312699,34.88552856
